# Time          2.6000E+02
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    5.0000000E-02    2.5838615E-02    2.0534504E-11    1.9000204E-06
    1.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    2.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    3.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    4.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    5.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    6.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    7.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    8.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
    9.5000000E-01    2.5838615E-02    2.0534504E-11    1.9000204E-06
