# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    5.0000000E-02    2.6876362E-02    1.1160663E-02    1.9000064E-06
    1.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    2.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    3.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    4.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    5.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    6.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    7.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    8.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
    9.5000000E-01    2.6876362E-02    1.1160663E-02    1.9000064E-06
